name	description	Latitude-longitude information
Blue Bell Beck	Sourcing part of the landscape then sculpting it and reframing it so it tells the story of this place.This island was sculpted during the ice age. But when the planet warmed so the receding glaciers left erratics. Stones from another place carried along in the ice. Ancient time travellers that helped shape this place.The artist’s approach was to visit each site and source these stones then sculp and polish them so their true beauty is revealed.Every one will be unique with different textures and forms and this one will be set on its own individual polished concrete bench.	54.541377 -1.2682380
Maze Park	CURRENTLY UNDER REVIEW	54.566780 -1.2705982
Iron Masters Trail	Reflecting old and new stories, this corten steel seal reflects upon the former shipbuilding heritage of the river, and how the river is cleaner, encouraging the seals to return.The 1.3m high work will be fabricated in 4mm corten sheet with a gusset/brace along the two upright edges for stability. There will be a small ‘baseplate’ around the spine.	54.582807 -1.2577639
Teessarus Park	'Giants Forged Here' is an egg-shaped installation made up of curved interlocking white planes. Inspired by the huge offshore structures built on the other side of the river. Each plane of the form is carved with curved lines representing river water and the straight lines representing the huge engineered steel structures. While the overall egg shape playfully ties-in with the park’s other residents – the dinosaurs!Staron is a mineral-based synthetic material that is as robust as natural stone yet has the smooth finish of alabaster.'Dazzling white' when installed the different facets of each piece will subtly change colour as natural lighting conditions change throughout the day.	54.590080 -1.2479441
Viewing Platform adjacent to Transporter Bridge	The design for the sculpture is based on a triangle as the bridge is a massive series of triangles. The sculpture is also a continuous loop representing the connection made between the North and South banks of the river.I would like to use Kilkenny limestone as the material. It's an Irish blue/ black limestone. Firstly it's strong enough to support the design; secondly it has a beautiful colour to it.The curves would naturally have more weight in the lower areas of the sculpture, becoming lighter in the upper parts. It would keep strength throughout with the flowing arched form and the width of the curves. There would be a contrast between the chiselled edges and the smooth polish inside the curves.	54.584090 -1.2301057
Saltern Wetlands - Greatham Creek	Sourcing part of the landscape then sculpting it and reframing it so it tells the story of this place.This island was sculpted during the ice age. But when the planet warmed so the receding glaciers left erratics. Stones from another place carried along in the ice. Ancient time travellers that helped shape this place.The artist’s approach was to visit each site and source these stones then sculp and polish them so their true beauty is revealed.Every one will be unique with different textures and forms and this one will be set on its own individual polished concrete bench.	54.622683 -1.2124339
Saltern Wetlands	I love the openness of this site, the long distance views and the incredible horizon of dominant industrial shapes. The shape of the sculpture is a response to the surroundings. The edges will appear sharp from a distance but would actually be gently rounded and thick enough to make it very strong.The plinth will be curved in a concave form to correspond with the large disc of the sculpture, to allow for the circle to remain continuous and yet still provide a very strong footing and hidden fixings.The material suggested; Hillhouse Edge sandstone from the Pennines, is available in blocks sufficiently large to create such a sculpture and is very hardwearing. 	54.627394 -1.2112586
Salt Marshes, Cerebos Salt	CURRENTLY UNDER REVIEW	54.633235 -1.2264824
Greatham Beck - Greatham Parish	This installation consists of a tower of planes shaped into organic forms that curve and undulate ending in a point. The shapes are smooth and thin and are inspired by the slow running beck, the ancient woodland and arable crops found at this location. Smooth undulating lines are carved into each of the planes echoing flowing water, the branches of trees and the ears of wheat and barley.	54.638082 -1.2411713
Seaton Common National Nature Reserve Saltern	This corten ‘Tidal Curlew’ reflects upon how local industry and nature live side by side in its design and material construction. The curlew has been chosen to symbolise the birds that call this tidal location ‘home’ which also next to a heavy industrial area.Corten steel requires no maintenance at all. It forms its own oxide coating over the first few weeks, changing colour from steel to orange and then finally to brown.	54.651146 -1.1827620
Redcar/Middlesbrough Border	This installation is made up of three semi- circular forms that meet in the centre of the curved edges. Reminiscent of wheels and an upturned boat hull. Track, wheels, water and boat shapes and patterns are etched and cut out of the planes representing three types of transportation (River, Rail and Road)Staron is a mineral-based synthetic material that is as robust as natural stone yet has the smooth finish of alabaster.'Dazzling white' when installed the different facets of each piece will subtly change colour as natural lighting conditions change throughout the day.	54.577984 -1.1989853
South Tees View Point	Sourcing part of the landscape then sculpting it and reframing it so it tells the story of this place.This island was sculpted during the ice age. But when the planet warmed so the receding glaciers left erratics. Stones from another place carried along in the ice. Ancient time travellers that helped shape this place.The artist’s approach was to visit each site and source these stones then sculp and polish them so their true beauty is revealed.Every one will be unique with different textures and forms and each will be set on its own individual polished concrete plinth.	54.582503 -1.1947810
South Bank Station	CURRENTLY UNDER REVIEW	54.583607 -1.1772130
Coke Ovens	This work reflects the resilience of nature in the industrial Teesside environment. These ‘Fire Flowers’ (in acid etched galvanised steel) symbolise that resilience and hark back to when coal was burned at high temperature to create coke. The leaves will be cut in 4mm sheet and edged in a flat bar for strength and to provide a safe edge.	54.584675 -1.1703987
Entrance to Coatham Marsh	The design represents a physical viewpoint. Its simple symetical yet organic form reflects hownature and industry live side by side in landscape. The form will be simple, striking, and yet have a graceful elegance like an eye or the imposing forms of the steelworks close by.The stone will be Hillhouse Edge sandstone. The plinth would be cut in a curve to mirror the sculpture. Possibly formed from sandstone paving, or floated concrete.	54.609519 -1.1028067
Sunflowers	This is a sculpture by vincent	54.0000 -1.0000
